Time (sec),Max Height X,Max Height Y
17.86666667,0.3038242735,0.2267284366
17.9,0.3038242735,0.2267284366
17.93331066,0.29084616,0.2328212717
18,0.3252802439,0.2592148158
18.03331066,0.3471766856,0.2486093986
18.06666667,0.3300490539,0.2475787771
18.1,0.326170721,0.254142271
18.13331066,0.3207966726,0.2602469273
18.16666667,0.3207966726,0.2606330503
18.2,0.3292046599,0.2579261169
18.23331066,0.3242704869,0.2486226104
18.26666667,0.3147278017,0.2395160892
18.3,0.3035978802,0.2451000209
18.33331066,0.3084275219,0.2490124088
18.36666667,0.3112608402,0.2450409153
18.4,0.3153640767,0.252669898
18.43331066,0.3145412345,0.2353975769
18.46666667,0.3122120001,0.2221009215
18.5,0.2958151933,0.2195199475
18.53331066,0.2958041691,0.2290547105
18.56666667,0.2889267577,0.236797136
18.6,0.2975147573,0.2421089837
18.63331066,0.2883784776,0.2284454767
18.66666667,0.2880751136,0.2242511703
18.7,0.290942597,0.2226071429
18.73331066,0.2947239467,0.2365097541
18.76666667,0.3000634328,0.2336627555
18.8,0.2861403667,0.2289839826
18.83331066,0.2925276483,0.2314963148
18.86666667,0.2900355835,0.2347442375
18.9,0.3005708438,0.2457530623
18.93331066,0.3039691772,0.2549368677
18.96666667,0.311313081,0.2622740976
19,0.311313081,0.2679515054
19.03331066,0.3165780793,0.2594623637
19.06666667,0.3100282157,0.2456818377
19.1,0.2870146552,0.2482326133
19.13331066,0.2784967238,0.2484376449
19.16666667,0.2836494441,0.2474711952
19.2,0.2808429911,0.2416614704
19.23331066,0.2816389184,0.2471315619
19.26666667,0.2816389184,0.2553528911
19.3,0.2950920159,0.2549328943
19.33331066,0.2989170154,0.2454794882
19.36666667,0.29308005,0.2508295806
19.4,0.299445879,0.2458121678
19.43331066,0.2818115315,0.2458121678
19.46666667,0.2640857129,0.2529442668
19.5,0.2632456888,0.2631591903
19.53331066,0.270524242,0.2612267875
19.56666667,0.2826683898,0.2637543183
19.6,0.2942928111,0.2572382081
19.63331066,0.3046731368,0.2584018418
19.66666667,0.2885541696,0.2518714271
19.7,0.2905735843,0.2598092485
19.73331066,0.2918786606,0.2689487496
19.76666667,0.2987284123,0.2737116609
19.8,0.2949987571,0.2796295637
19.83331066,0.2844170164,0.2781996075
19.86666667,0.2727479023,0.2751604912
19.9,0.2630511763,0.2824702046
19.93331066,0.2713765318,0.2900312407
19.96666667,0.2852457183,0.293818762
20,0.3008863743,0.2947491524
20.03331066,0.3006009866,0.2897892558
20.06666667,0.2861898266,0.2968799312
20.1,0.2870234944,0.3069174388
20.13331066,0.296305075,0.3043078557
20.16666667,0.2932080201,0.2927749288
20.2,0.2702754527,0.2875332131
20.23331066,0.2726024524,0.2933378716
20.26666667,0.2756324186,0.3011928459
20.3,0.2644466312,0.2956178545
20.33331066,0.2729974365,0.3026870731
20.36666667,0.2726609502,0.3033105122
20.4,0.2862130668,0.3014839033
20.43331066,0.2936153692,0.2980758494
20.46666667,0.2748854547,0.3029989913
20.5,0.2749852187,0.3216351101
20.53331066,0.2919379033,0.3346407081
20.56666667,0.3102528213,0.3312233164
20.6,0.2960066271,0.3246675708
20.63331066,0.300512942,0.3186600661
20.66666667,0.2885746289,0.3139185122
20.7,0.2746786268,0.3122822331
20.73331066,0.2803767469,0.321047333
20.76666667,0.285881894,0.3180863949
20.8,0.302158974,0.3180863949
20.83331066,0.3093540015,0.3185059944
20.86666667,0.3109349808,0.3140634449
20.9,0.3129183434,0.3076422016
20.93331066,0.2986599828,0.308482394
20.96666667,0.289226596,0.3129649763
21,0.2957745726,0.3194065837
21.03331066,0.3118969663,0.3190077456
21.06666667,0.3220804454,0.3146234076
21.1,0.3288870438,0.3125969327
21.13331066,0.3320935958,0.3053022191
21.16666667,0.3320935958,0.3053022191
21.2,0.3320935958,0.3024628695
21.23331066,0.327676269,0.2979873401
21.26666667,0.3243810268,0.2959305674
21.3,0.3199363878,0.3012559249
21.33331066,0.3037853909,0.2891228038
21.36666667,0.2965691095,0.300518149
21.4,0.2910393815,0.3089552381
21.43331066,0.2902687801,0.3116984295
21.46666667,0.2902687801,0.3157092604
21.5,0.2869882368,0.3115533975
21.53331066,0.2940195898,0.3140754647
21.56666667,0.3029104072,0.3161416744
21.6,0.3010828732,0.3175310017
21.63331066,0.3101020083,0.3139261612
21.66666667,0.3085256472,0.3080064704
21.7,0.3101399474,0.3060622465
21.73331066,0.3085526118,0.306895684
21.76666667,0.3085526118,0.306895684
21.8,0.3077067777,0.3159673379
21.83331066,0.3132114281,0.3181271231
21.86666667,0.3104655585,0.3173539832
21.9,0.3113144715,0.3120147185
21.93331066,0.3113144715,0.3120147185
21.96666667,0.3113144715,0.3120147185
22,0.3113144715,0.3120147185
22.03331066,0.3113144715,0.3160016092
22.06666667,0.3158560439,0.3181976524
22.1,0.3032144168,0.3087217962
22.13331066,0.2934713594,0.3048957321
22.16666667,0.2884182045,0.3080722315
22.2,0.2860383184,0.3076816384
22.23331066,0.2940460081,0.3130921277
22.26666667,0.3023817919,0.3130921277
22.3,0.3043934598,0.3043065643
22.33331066,0.3106243169,0.2947279937
22.36666667,0.3142472062,0.2907226263
22.4,0.3186890643,0.2891233999
22.43331066,0.3186890643,0.2871732158
